ID,IP,DeviceCount,RAM
1,31.84.89.194,2,53.776509137832164
2,145.187.31.175,0,44.97148033727049
3,200.204.33.95,6,129.41936021317088
4,131.108.212.172,7,142.36718673100827
5,38.153.5.6,1,92.54341894154982
6,48.73.57.175,3,156.56847515676057
7,116.105.102.94,8,118.01133229659655
8,188.157.137.231,8,143.19104315274615
9,51.90.39.215,1,174.22586307059814
10,75.192.7.185,1,204.67354897433094
11,43.75.47.144,4,79.06202931755871
12,204.169.69.148,1,67.35069058242723
13,91.18.124.189,0,103.9598992402889
14,13.238.81.142,0,68.3604554181905
15,137.227.50.247,7,55.628337446979685
16,222.137.39.38,7,201.88652593954077
17,170.22.123.63,6,24.210607521741423
18,197.80.221.115,3,96.8660214629804
19,216.179.246.167,6,17.280900742260286
20,140.190.67.219,8,171.99130984716987
21,124.77.193.245,0,9.89575079103409
22,88.117.216.138,1,222.9356393641769
23,74.165.235.131,3,56.27150683715996
24,138.18.36.151,1,78.61347887001028
25,72.158.32.228,2,226.2714119959485
26,183.228.222.136,4,166.70033852962086
27,182.214.31.74,7,175.89917093884767
28,4.100.194.127,6,24.19384538943791
29,36.108.213.213,6,183.81538983913222
30,190.52.105.202,4,148.5668847475787
31,203.163.95.174,4,9.837627491157434
32,1.217.232.252,3,131.775289049682
33,150.162.111.10,8,69.33494846003956
34,215.199.156.158,4,28.945305101497127
35,37.190.141.120,0,220.76350296191438
36,191.199.105.180,2,189.5080607366164
37,165.19.52.80,1,254.45165922297164
38,153.107.128.27,5,152.8080281249689
39,200.83.195.163,5,238.3075788974697
40,187.246.30.113,6,118.000612729561
41,108.21.149.36,1,241.67331373687855
42,153.91.12.157,2,234.90517352638548
43,66.30.155.185,5,226.9040067529175
44,34.46.41.64,0,21.91866268898619
45,15.98.176.125,6,245.57393729416603
46,122.26.206.109,5,223.44507849071164
47,179.65.109.219,5,183.66667604338443
48,189.191.122.210,8,65.99080200805935
49,101.243.172.147,6,28.16641488635139
50,137.139.151.6,7,46.03080567361329
51,148.108.119.237,7,73.86639260207718
52,168.55.174.93,8,183.12110429770394
53,157.196.245.209,4,23.893567249593133
54,205.41.189.121,6,199.34987314598504
55,139.215.113.147,1,191.74015855874117
56,139.185.215.212,5,103.37885091170384
57,134.99.145.28,7,113.71378749711647
58,192.155.231.133,4,41.76029710446136
59,49.40.74.243,1,65.97756795142502
60,180.19.75.193,6,170.10826215662772
61,210.79.174.18,6,184.40797957953967
62,214.46.91.214,7,50.95850592439092
63,204.133.51.192,1,172.37117876972917
64,206.99.226.45,3,201.79454254400338
65,178.96.71.41,3,92.8047298689535
66,119.242.144.6,3,226.61347091673636
67,65.101.189.159,2,193.98840584883467
68,158.70.156.172,1,2.849678679708404
69,60.218.171.128,0,46.95286439345276
70,157.148.116.126,4,228.90977715053776
71,211.42.229.165,0,145.70045287066657
72,171.30.134.38,4,219.1703653390298
73,39.226.15.79,4,240.24366684458394
74,21.219.235.38,6,179.78706720057306
75,105.221.150.54,6,106.01539286295775
76,50.31.40.101,4,99.71457583231154
77,90.254.112.139,2,152.16593181181352
78,100.202.141.221,5,63.776441642951255
79,187.173.238.54,2,130.601768059149
80,10.202.156.229,7,179.59155854423332
